Category,Priority,Issue,Impact,Fix Description,Effort (Hours),Testing Required,User Benefit
Rate Limiting,P0 - CRITICAL,Self-imposed API limits too low (TikTok: 1 call Instagram: 5 calls),Users only getting 2-5% of requested search results,"Change system-config defaults: max_api_calls_tiktok from 1 to 50, max_api_calls_instagram_similar from 5 to 25",2,Manual smoke test with each platform,"Users get complete search results (1000 creators instead of 20)"
Rate Limiting,P0 - CRITICAL,No rate limiting on authentication endpoints,Brute force attacks possible on auth bypass headers,Implement Upstash rate limiter: 10 req/min for webhooks 5 req/min for auth,4,Automated load testing with rate limit violations,Platform security hardened against attacks
Performance,P0 - CRITICAL,getUserProfile() does 4-way JOIN on every API request,Every API call takes 50-150ms (300ms under load),Add Redis caching with 5min TTL + selective field fetching,6,Load test with 100 concurrent requests,"API response times drop 60-70% (from 800ms to 250ms)"
Performance,P0 - CRITICAL,N+1 query pattern in campaign listing,Dashboard takes 1 second to load 20 campaigns,Rewrite campaign query with single subquery for latest job,3,Compare query performance before/after with EXPLAIN ANALYZE,Dashboard loads 69% faster
Performance,P0 - CRITICAL,Missing indexes on scraping_jobs.user_id and campaigns.user_id,Full table scans on high-traffic queries (500ms+ for 100 jobs),Add 8 composite indexes with CONCURRENTLY flag,2,Monitor slow query log for 48 hours,All user queries under 50ms
QStash Jobs,P0 - CRITICAL,No timeout enforcement in QStash handler,Jobs can run indefinitely consuming resources,Add Promise.race with 5min timeout + check timeoutAt field,2,Simulate stuck job and verify timeout triggers,"Users see clear ""timeout"" error instead of infinite loading"
QStash Jobs,P0 - CRITICAL,Job status override bug (errors marked as completed),Users see success for failed jobs,Fix completion logic to preserve error status from providers,1,Test provider error propagation end-to-end,Users see accurate job status and error messages
QStash Jobs,P0 - CRITICAL,Race condition in job status updates,Concurrent QStash invocations cause status flip-flopping,Add optimistic locking with version column,3,Run 100 concurrent job updates and verify consistency,Jobs never stuck in wrong state
QStash Jobs,P0 - CRITICAL,Missing idempotency for QStash messages,Duplicate messages cause double usage tracking,Store and check qstashMessageId before processing,2,Send duplicate message and verify only processed once,Users never charged twice for same search
QStash Jobs,P0 - CRITICAL,Continuation loop without progress check,Jobs reschedule infinitely if provider returns hasMore=true with 0 results,Add stall detection: exit if processedResults unchanged,1,Mock provider returning hasMore without progress,Jobs never run indefinitely
API Routes,P0 - CRITICAL,8 routes missing authentication (getAuthOrTest),Unauthorized access to job status and data,Add getAuthOrTest() + authorization checks to all routes,4,Test accessing jobs/campaigns without auth → 401,All sensitive endpoints properly secured
API Routes,P0 - CRITICAL,Job cleanup query has SQL syntax error,Cleanup cron never runs results table grows unbounded,Fix JOIN syntax in cleanup route,1,Run cleanup manually and verify results deleted,Database stays under size limits
Search Providers,P0 - CRITICAL,ScrapeCreators rate limit errors not distinguished,Jobs fail permanently instead of retrying,Add RateLimitError class + retry logic with exponential backoff,4,Mock 429 response and verify retry behavior,95% fewer job failures due to transient errors
Search Providers,P0 - CRITICAL,No retry logic for network failures,1% API failure rate becomes 10% job failure rate,Implement withRetry() wrapper with 3 retries,3,Simulate network timeout and verify retries,Job success rate improves 10-15%
Search Providers,P0 - CRITICAL,Instagram US Reels partial keyword failures not tracked,Users missing data from failed keywords without knowing,Track per-keyword status + show warnings in UI,3,Test with 1 failing keyword out of 10,Users informed which keywords failed
Search Providers,P0 - CRITICAL,No fallback provider for Serper failures,Primary Instagram provider down = all Instagram searches fail,Implement cascading fallback: Serper → SerpApi → ScrapeCreators,6,Kill Serper API and verify fallback triggers,99.9% uptime even if provider down
Database,P1 - HIGH,No cross-provider deduplication,Same creator appears multiple times across searches,Upsert to creator_profiles table with UNIQUE constraint,4,Run 2 searches for same keyword verify single entry,Users see unique creators only
Frontend,P1 - HIGH,Onboarding modal has no close button,Users trapped in onboarding flow cannot exit,Add X button + onClose handler,0.5,Click X and verify modal closes,"Users can exit onboarding to explore product first"
Frontend,P1 - HIGH,Campaign list infinite retry loop,400/401 errors trigger endless retries with loading spinner,Only retry on network errors (502/503/504) + show attempt count,2,Return 400 error and verify stops after 3 attempts,Clear error messages instead of infinite loading
Frontend,P1 - HIGH,Search results polling never times out,Stuck jobs cause infinite polling + memory leak,Add 60-poll limit (5 minutes) + show timeout message,1,Simulate stuck job and verify polling stops,Users see actionable error instead of spinning forever
Frontend,P1 - HIGH,Access guard shows flashing incorrect state,Race condition during billing data load,Add explicit loading state return null until loaded,0.5,Refresh during trial and verify no flash,No confusing paused messages during load
Error Handling,P1 - HIGH,structuredConsole instead of logger (783 instances),Logs bypass centralized system miss Sentry,Create codemod to replace with logger.* calls,8,Verify errors appear in Sentry after migration,Better error monitoring and debugging
Security,P1 - CRITICAL,QStash signature verification can be disabled in production,Attackers can forge webhooks if env var set,Remove SKIP_QSTASH_SIGNATURE support in production,0.5,Test with invalid signature in prod → 401,Cannot bypass webhook security
Security,P1 - CRITICAL,Auth bypass headers accepted without HMAC,Staging environments vulnerable to header injection,Remove x-dev-auth method keep only HMAC-signed headers,2,Test unsigned headers in staging → rejected,Staging environments secured
Security,P1 - CRITICAL,Race condition in checkout vs webhook,Billing state can be corrupted by timing,Implement distributed lock with Upstash Redis,4,Run 100 simultaneous checkout + webhook calls,Billing state always consistent
Security,P1 - CRITICAL,Plan enforcement bypass via parallel requests,Users can exceed limits with concurrent submissions,Use database-level constraints + atomic increments,3,Submit 10 parallel campaign requests verify limit enforced,Cannot bypass usage limits
Security,P1 - CRITICAL,Missing CSRF protection,Cross-site request forgery on state-changing endpoints,Add CSRF middleware with token validation,3,Submit cross-origin POST verify 403,CSRF attacks blocked
Testing,P1 - HIGH,No automated test framework,Manual testing only no CI/CD integration,Set up Vitest + test database + GitHub Actions,8,Run npm test and verify all pass,Catch bugs before production
Testing,P1 - HIGH,Stripe webhook processing has zero tests,Payment failures go undetected,Write 15 integration tests for webhook events,16,Test duplicate webhooks trial conversion cancellation,Payment processing reliable
Testing,P1 - HIGH,Plan enforcement has zero tests,Billing limits may have bugs,Write 10 unit tests for validation logic,12,Test all limit scenarios (at limit over limit unlimited),Confident billing limits work correctly
Performance,P2 - MEDIUM,Memory leak in image cache,Every image lookup lists 1000 blobs never released,Cache results of list operation add LRU eviction,4,Monitor memory over 200 jobs verify no growth,No OOM crashes after sustained use
Performance,P2 - MEDIUM,Missing timeout on 8 API routes,External API hangs cause connection leaks,Add AbortSignal.timeout to all fetch calls,2,Mock hanging API verify route times out,No connection pool exhaustion
Frontend,P2 - MEDIUM,Form validation is client-side only,Server can receive invalid data,Add Zod schemas for all POST bodies,6,Submit invalid data verify 400 response,Better error messages for users
Frontend,P2 - MEDIUM,No character limit on brand description,Backend might truncate silently,Add maxLength + character counter to textarea,0.5,Type 1000 chars verify stops at 500,Users know field limits
Frontend,P2 - MEDIUM,Zero state UIs not actionable,Empty campaigns shows no path to create,Add Create Campaign button to empty states,1,View empty list verify CTA present,Users guided to next action
Accessibility,P2 - MEDIUM,Drag-and-drop has no keyboard support,Screen reader users cannot reorder list items,Add @dnd-kit/accessibility module,4,Use keyboard to reorder items verify works,Accessible to all users
Accessibility,P2 - MEDIUM,Filter buttons missing ARIA states,Screen readers cannot detect active filter,Add aria-pressed to filter buttons,0.5,Use screen reader verify states announced,Screen reader users can navigate filters
Accessibility,P2 - MEDIUM,Progress indicator not announced,Screen readers cannot track onboarding progress,Add role=progressbar with aria-valuenow,0.5,Use screen reader verify step announced,Accessible onboarding
Data Quality,P2 - MEDIUM,Inconsistent follower count data types,Some stored as 10.5K others as numbers sorting broken,Standardize with parseFollowerCount() util,3,Test sort by followers verify correct order,Accurate sorting and exports
Data Quality,P2 - MEDIUM,NormalizedCreator type is Record<string any>,No type safety for creator objects,Define strict interface with required fields,2,Add runtime validation verify catches issues,Fewer runtime errors
Monitoring,P3 - LOW,No structured job metrics in Sentry,Error logs missing context (keyword API calls etc),Add structured logging at each job stage,2,Trigger error verify full context in Sentry,Faster debugging of issues
Monitoring,P3 - LOW,No real-time job dashboard,Cannot see active jobs stuck jobs queue health,Build admin dashboard with job statistics,16,View dashboard during load test,Operational visibility
Cost Tracking,P3 - LOW,RapidAPI cost not tracked,Cost reports incomplete,Add RAPIDAPI_INSTAGRAM_COST_PER_CALL constant,1,Run search verify cost in metrics,Accurate cost analysis
Cost Tracking,P3 - LOW,Profile enrichment costs not separated,Cannot see breakdown of search vs enrichment,Track separately with different cost entries,2,View cost breakdown verify enrichment shown,Better cost optimization decisions
Documentation,P3 - LOW,Testing README missing,Developers don't know how to run tests,Create comprehensive testing guide,1,New developer follows guide successfully,Faster onboarding
Documentation,P3 - LOW,Deployment validation checklist missing,Env vars not validated before deploy,Add pre-deployment validation script,2,Run before deploy catch missing vars,Prevent config errors in production