Batch,Category,Full Name,Username/Handle,Platform,Company,Role/Title,Notes
First,PR/News,,bollywoodhelpline,Instagram,Bollywood Helpline,PR Agency,Daily celeb access
First,Journalist,Kzvisha,kzvisha,Instagram,Bollywood Helpline,Journalist,Media connects
First,Publicist,Dale Bhagwagar,dalebhagwagarmediagroup,Instagram,Dale Bhagwagar Media Group,Publicist,Handles 300+ celebs
First,PR Agency,Universal Comms,universal_communications,Instagram,Universal Communications,PR Agency,Bollywood PR leader
First,PR Agency,Raindrop Media,raindropmedia,Instagram,Raindrop Media,PR Agency,Top Bollywood launch agency
First,PR Agency,BollywoodPR.in,bollywoodpr.in,Instagram,BollywoodPR.in,PR Agency,Major Mumbai PR
First,Manager,Pooja Dadlani,pooja.dadlani,Instagram,,Celebrity Manager,Shah Rukh Khan's manager
First,Manager,Poonam Damania,poonam.damania,Instagram,,Celebrity Manager,Ex-Kareena Kapoor manager
First,Manager,Susan Rodrigues,susan.rodrigues,Instagram,,Celebrity Manager,Ex-Ranveer Singh manager
First,Manager,Anuj Chuke,anuj_chuke_bollywood,Instagram,,Celebrity Manager,Mumbai manager
First,Journalist,Rajesh N Naidu,rajeshnnaidu,LinkedIn,,Journalist,Festival press
First,Journalist,Gayle Sequeira,gayle-sequeira-2a046ab9,LinkedIn,,Journalist,Film critic
First,Journalist,Lipika Verma,lipikaverma,Instagram,,Journalist,Bollywood writer
First,Journalist,Nalin Vora,nalinvora,Instagram,,Journalist,Film journalist
First,Producer,TITO Films,tito_films,Instagram,TITO Films,Production House,Bollywood/Mumbai projects
First,Celebrity,Kritika Kamra,kkamra,Instagram,,Actress,Event attendance
First,Celebrity,Krystle D'Souza,krystledsouza,Instagram,,Actress,Bollywood links
First,Celebrity,Shraddha Kapoor,shraddhakapoor,Instagram,,Actress,A-list Bollywood celeb
First,Celebrity,Mallika Sherawat,mallikasherawat,Instagram,,Actress,Bollywood star
First,Celebrity,Amitabh Bachchan,amitabhbachchan,Instagram,,Actor,Legend; massive reach
Second,Talent Management,,"rapid_kings_talent_management",Instagram,Rapid Kings Talent,Management Agency,Handles rising stars
Second,Manager,Anuj Mehta,anujmehta25,Instagram,,Talent Manager,Handles Bollywood clients
Second,Talent Agency,Dharma Cornerstone,dcatalent,Instagram,Dharma Productions,Talent Agency,Karan Johar's agency
Second,Talent Agency,YRF Talent,yashrajfilmstalent,Instagram,Yash Raj Films,Talent Agency,Yash Raj's talent desk
Second,Casting,Rajkumar Casting,rajkumar.casting,Instagram,Rajkumar Casting,Casting Director,Bollywood movies
Second,Talent Management,TM Talent Management,tmtalentmanagement,Instagram,TM Talent Management,Management Agency,Handles artists
Second,PR,Hype PR,hypenq_pr,Instagram,Hype PR,PR Agency,Influencer/events PR
Second,Publicist,Dale Bhagwagar,dale.bhagwagar,Instagram,Dale Bhagwagar Media Group,Publicist,Repeat for reach
Second,PR,OBM PR,offbeatmediain,Instagram,OBM PR Agency,PR Agency,Events/celeb PR
Second,PR,BollywoodPR.in,bollywoodpr.in,Instagram,BollywoodPR.in,PR Agency,Major Bollywood outreach
Second,PR,Pragyashree PR,pragyashreepr,Instagram,Pragyashree PR,PR Agency,Lifestyle/events PR
Second,PR,Universal Communications,universal_communications,Instagram,Universal Communications,PR Agency,Bollywood focus
Second,Producer,Red Chillies Ent,redchilliesent,Instagram,Red Chillies Entertainment,Production House,SRK's company
Second,Producer,Maddock Films,maddockfilms,Instagram,Maddock Films,Production House,Bollywood/Mumbai films
Second,Producer,Shine India Film Prod,shineindiafilmproduction,Instagram,Shine India Film Production,Production House,TV/Bollywood
Second,Producer,TITO Films,tito_films,Instagram,TITO Films,Production House,Repeat for reach
Second,Producer,YRF,yashrajfilms,Instagram,Yash Raj Films,Production House,A-list studio
Second,Producer,Dharma Movies,dharmamovies,Instagram,Dharma Productions,Production House,Karan Johar movies
Second,Producer,Offline Filmmakers,offlinefilmmakers,Instagram,Offline Filmmakers,Production Collective,Indie/Bollywood links
Second,Casting,Castings by Vidhu,castings_byvidhu,Instagram,Castings By Vidhu,Casting Director,Bollywood projects
Second,Casting,India Casting Agency,indiacastingagency,Instagram,India Casting Agency,Casting Agency,Pan-India talent
Second,Casting,Bollywood Castings,bollywoodcastings,Instagram,Bollywood Castings,Casting Agency,Bollywood movies
Second,Casting,Kavish Sinha,kavishsinha,Instagram,,Casting Director,Leading Bollywood casting director
Second,Casting,The Casting Company,thecastingcompany,Instagram,The Casting Company,Casting Agency,Industry network
Second,Journalist,Rajesh N Naidu,rajeshnnaidu,LinkedIn,,Journalist,Film critic
Second,Journalist,Gayle Sequeira,gayle-sequeira-2a046ab9,LinkedIn,,Journalist,Mumbai critic
Second,Journalist,Ankur Pathak,ankur-pathak-journalist,LinkedIn,,Journalist,Film & entertainment writer
Second,Journalist,Sanjukta Sharma,sanjukta-sharma-7a75265,LinkedIn,,Journalist,Senior Mumbai writer
Second,Artist Platform,Showcase Curate,showcasecurate,Instagram,Showcase Curate,Creator Network,Artists/filmmakers
Second,Artist Platform,TalentRack,talentrack,Instagram,TalentRack,Artist Platform,Actors/models network
Second,Artist Platform,Filmy Dosty,filmydosty,Instagram,Filmy Dosty,Artist Platform,Creator connections
Second,Artist Platform,Models Mafia,modelsmafia,Instagram,Models Mafia,Artist Platform,Model/talent platform
Third,Director,Ayan Mukerji,ayanmukerji,Instagram,,Film Director,Brahmastra, Yeh Jawani Hai Deewani
Third,Director,Zoya Akhtar,zoyaakhtar,Instagram,,Film Director,Gully Boy, Made in Heaven
Third,Actor,Alia Bhatt,aliaabhatt,Instagram,,Actress,Top Bollywood star
Third,Actor,Ranveer Singh,ranveersingh,Instagram,,Actor,Younger superstar
Third,Music,Triya Music,triyamusic,Instagram,,Music Label,Original scores
Third,Agency,Modash,modash_io,Instagram,,Creator tools,Influencer platform
Third,Producer,Namit Malhotra,namitmalhotra,LinkedIn,Prime Focus,Producer,Visual effects
Third,Agency,Bright Data,brightdata,Instagram,,Web data/creative platform,Creator contacts
Third,Web Series,TVF,thescreenpatti,Instagram,TVF,Web Series Studio,Leading digital content
Third,Production,Emmay Entertainment,emmayentertainment,Instagram,Emmay Entertainment,Production House,Nikkhil Advani films
Third,VFX,Redefine,RedefineVFX,Instagram,Redefine,VFX Studio,Bollywood effects
Third,Studio,Applause Entertainment,applauseent,Instagram,Applause Entertainment,Studio,Web/OTT production
Third,Producer,Ritesh Sidhwani,ritesh_sidwani,Instagram,Excel Entertainment,Producer,Top films/series
Third,Studio,Sikhya Entertainment,sikhyaent,Instagram,Sikhya Entertainment,Production House,Indie films/documentaries
